?supname	?sup	?subname	?sub
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"paracentral lobule, caudal part"	<http://purl.obolibrary.org/obo/DHBA_12138>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"transverse temporal gyrus (Heschl's gyrus)"	<http://purl.obolibrary.org/obo/DHBA_12144>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"planum polare"	<http://purl.obolibrary.org/obo/DHBA_12147>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"cingulate gyrus, rostral (anterior) part"	<http://purl.obolibrary.org/obo/DHBA_12157>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"cingulate gyrus, caudal (posterior) part"	<http://purl.obolibrary.org/obo/DHBA_12158>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"cingulo-parahippocampal isthmus"	<http://purl.obolibrary.org/obo/DHBA_12159>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"subcallosal gyrus (parolfactory gyrus)"	<http://purl.obolibrary.org/obo/DHBA_12160>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"band of Giacomini"	<http://purl.obolibrary.org/obo/DHBA_12167>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"intralimbic gyrus"	<http://purl.obolibrary.org/obo/DHBA_12168>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"semilunar gyrus"	<http://purl.obolibrary.org/obo/DHBA_12169>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"hippocampal gyrus (formation)"	<http://purl.obolibrary.org/obo/DHBA_12170>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"head of hippocampus"	<http://purl.obolibrary.org/obo/DHBA_12171>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"digitations of hippocampus"	<http://purl.obolibrary.org/obo/DHBA_12172>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"body of hippocampus"	<http://purl.obolibrary.org/obo/DHBA_12173>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"tail of hippocampus"	<http://purl.obolibrary.org/obo/DHBA_12174>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"insular lobe"	<http://purl.obolibrary.org/obo/DHBA_12176>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"long insular gyri"	<http://purl.obolibrary.org/obo/DHBA_12177>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"short insular gyri"	<http://purl.obolibrary.org/obo/DHBA_12178>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"mesencephalic trigeminal nucleus"	<http://purl.obolibrary.org/obo/DHBA_12208>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventral tegmental nucleus"	<http://purl.obolibrary.org/obo/DHBA_12266>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventral tegmental nucleus, infrafascicular part"	<http://purl.obolibrary.org/obo/DHBA_12267>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventral tegmental nucleus, principal part"	<http://purl.obolibrary.org/obo/DHBA_12268>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventral tegmental nucleus, suprafascicular part"	<http://purl.obolibrary.org/obo/DHBA_12269>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"decussation of superior cerebellar peduncle"	<http://purl.obolibrary.org/obo/DHBA_12337>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"decussation of trochlear nerve fibers"	<http://purl.obolibrary.org/obo/DHBA_12338>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"cerebellorubral tract"	<http://purl.obolibrary.org/obo/DHBA_12355>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"cerebellothalamic tract"	<http://purl.obolibrary.org/obo/DHBA_12356>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dentatothalamic tract"	<http://purl.obolibrary.org/obo/DHBA_12357>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"globose-emboliform-rubral tract"	<http://purl.obolibrary.org/obo/DHBA_12358>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"rubrocerebellar fibers"	<http://purl.obolibrary.org/obo/DHBA_12359>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"tectocerebellar fibers"	<http://purl.obolibrary.org/obo/DHBA_12360>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventral spinocerebellar tract, midbrain portion"	<http://purl.obolibrary.org/obo/DHBA_12361>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"tectopontine tract"	<http://purl.obolibrary.org/obo/DHBA_12364>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dentate (lateral) nucleus"	<http://purl.obolibrary.org/obo/DHBA_12396>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dentate nucleus, lateroventral part"	<http://purl.obolibrary.org/obo/DHBA_12397>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dentate nucleus, mediodorsal part"	<http://purl.obolibrary.org/obo/DHBA_12398>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"interpositus (intermediate) nucleus"	<http://purl.obolibrary.org/obo/DHBA_12399>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"fastigial (medial) nucleus"	<http://purl.obolibrary.org/obo/DHBA_12402>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"fastigial nucleus, lateral part"	<http://purl.obolibrary.org/obo/DHBA_12403>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"fastigial nucleus, medial part"	<http://purl.obolibrary.org/obo/DHBA_12404>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"pontine nucleus"	<http://purl.obolibrary.org/obo/DHBA_12406>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsal nucleus"	<http://purl.obolibrary.org/obo/DHBA_12407>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsolateral nucleus"	<http://purl.obolibrary.org/obo/DHBA_12408>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsomedial nucleus"	<http://purl.obolibrary.org/obo/DHBA_12409>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral nucleus"	<http://purl.obolibrary.org/obo/DHBA_12410>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"median nucleus"	<http://purl.obolibrary.org/obo/DHBA_12411>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"paramedian nucleus"	<http://purl.obolibrary.org/obo/DHBA_12412>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"peduncular nucleus"	<http://purl.obolibrary.org/obo/DHBA_12413>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"reticulotegmental nucleus"	<http://purl.obolibrary.org/obo/DHBA_12414>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"efferent nuclei of cranial nerves in pons"	<http://purl.obolibrary.org/obo/DHBA_12417>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"abducens nucleus"	<http://purl.obolibrary.org/obo/DHBA_12418>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"accessory facial nucleus"	<http://purl.obolibrary.org/obo/DHBA_12419>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"facial nucleus"	<http://purl.obolibrary.org/obo/DHBA_12420>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"facial nucleus, dorsal subnucleus"	<http://purl.obolibrary.org/obo/DHBA_12421>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"facial nucleus, ventrointermediate subnucleus"	<http://purl.obolibrary.org/obo/DHBA_12422>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"facial nucleus, ventromedial subnucleus"	<http://purl.obolibrary.org/obo/DHBA_12424>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"perifacial zone"	<http://purl.obolibrary.org/obo/DHBA_12425>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"facial nucleus, ventrolateral subnucleus"	<http://purl.obolibrary.org/obo/DHBA_12427>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lacrimal nucleus"	<http://purl.obolibrary.org/obo/DHBA_12428>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"motor nucleus of trigeminal nerve"	<http://purl.obolibrary.org/obo/DHBA_12429>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"motor nucleus of trigeminal nerve, lateral pterygoid part"	<http://purl.obolibrary.org/obo/DHBA_12430>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"motor nucleus of trigeminal nerve, masseter part"	<http://purl.obolibrary.org/obo/DHBA_12431>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"motor nucleus of trigeminal nerve, medial pterygoid part"	<http://purl.obolibrary.org/obo/DHBA_12432>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"motor nucleus of trigeminal nerve, mylohyoid part"	<http://purl.obolibrary.org/obo/DHBA_12433>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"motor nucleus of trigeminal nerve, temporalis part"	<http://purl.obolibrary.org/obo/DHBA_12434>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"superior salivatory nucleus"	<http://purl.obolibrary.org/obo/DHBA_12435>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"afferent nuclei of cranial nerves in pons"	<http://purl.obolibrary.org/obo/DHBA_12436>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsal cochlear nucleus"	<http://purl.obolibrary.org/obo/DHBA_12438>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventral cochlear nucleus"	<http://purl.obolibrary.org/obo/DHBA_12439>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventral cochlear nucleus, rostral part"	<http://purl.obolibrary.org/obo/DHBA_12440>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventral cochlear nucleus, caudal part"	<http://purl.obolibrary.org/obo/DHBA_12441>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"granular cell layer of cochlear nuclei"	<http://purl.obolibrary.org/obo/DHBA_12442>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"mesencephalic nucleus of trigeminal nerve, pontine part"	<http://purl.obolibrary.org/obo/DHBA_12443>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"principal sensory nucleus of trigeminal nerve"	<http://purl.obolibrary.org/obo/DHBA_12444>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsomedial nucleus of Pr5"	<http://purl.obolibrary.org/obo/DHBA_12445>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventrolateral nucleus of Pr5"	<http://purl.obolibrary.org/obo/DHBA_12446>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"spinal nucleus of trigeminal nerve, oral subnucleus"	<http://purl.obolibrary.org/obo/DHBA_12447>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"vestibular nuclei in pons"	<http://purl.obolibrary.org/obo/DHBA_12448>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral vestibular nucleus"	<http://purl.obolibrary.org/obo/DHBA_12449>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral vestibular nucleus, magnocellular part"	<http://purl.obolibrary.org/obo/DHBA_12450>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral vestibular nucleus, parvicellular part"	<http://purl.obolibrary.org/obo/DHBA_12451>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"superior vestibular nucleus"	<http://purl.obolibrary.org/obo/DHBA_12452>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"auditory relay nuclei in pons"	<http://purl.obolibrary.org/obo/DHBA_12453>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"nuclei of lateral lemniscus"	<http://purl.obolibrary.org/obo/DHBA_12454>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"nucleus of trapezoid body"	<http://purl.obolibrary.org/obo/DHBA_12458>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral nucleus of trapezoid body"	<http://purl.obolibrary.org/obo/DHBA_12459>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"superior paraolivary nucleus"	<http://purl.obolibrary.org/obo/DHBA_12463>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"periolivary nuclei"	<http://purl.obolibrary.org/obo/DHBA_12464>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"medial periolivary nucleus"	<http://purl.obolibrary.org/obo/DHBA_12466>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"retro-olivary cell group"	<http://purl.obolibrary.org/obo/DHBA_12467>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral superior olivary nucleus"	<http://purl.obolibrary.org/obo/DHBA_12469>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"medial superior olive"	<http://purl.obolibrary.org/obo/DHBA_12470>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"raphe pontis nucleus"	<http://purl.obolibrary.org/obo/DHBA_12471>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsal raphe nucleus"	<http://purl.obolibrary.org/obo/DHBA_12472>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"median raphe nucleus"	<http://purl.obolibrary.org/obo/DHBA_12473>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"paramedian raphe nucleus, reticular part"	<http://purl.obolibrary.org/obo/DHBA_12474>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"raphe pontis nucleus"	<http://purl.obolibrary.org/obo/DHBA_12475>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"raphe interpositus nucleus"	<http://purl.obolibrary.org/obo/DHBA_12476>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"parabrachial nuclei"	<http://purl.obolibrary.org/obo/DHBA_12481>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral parabrachial nucleus, central part"	<http://purl.obolibrary.org/obo/DHBA_12483>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral parabrachial nucleus, dorsal part"	<http://purl.obolibrary.org/obo/DHBA_12484>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral parabrachial nucleus, external part"	<http://purl.obolibrary.org/obo/DHBA_12485>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral parabrachial nucleus, superior part"	<http://purl.obolibrary.org/obo/DHBA_12486>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"medial parabrachial nucleus, external part"	<http://purl.obolibrary.org/obo/DHBA_12488>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"medial parabrachial nucleus, medial part"	<http://purl.obolibrary.org/obo/DHBA_12489>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"subpeduncular pigmented nucleus"	<http://purl.obolibrary.org/obo/DHBA_12490>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"reticular nuclei of pons"	<http://purl.obolibrary.org/obo/DHBA_12492>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"pontine reticular nucleus, caudal part"	<http://purl.obolibrary.org/obo/DHBA_12493>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"pontine reticular nucleus, oral part"	<http://purl.obolibrary.org/obo/DHBA_12494>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"paralemniscal nucleus"	<http://purl.obolibrary.org/obo/DHBA_12495>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"paramedian reticular nucleus"	<http://purl.obolibrary.org/obo/DHBA_12496>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"reticulotegmental nucleus"	<http://purl.obolibrary.org/obo/DHBA_12497>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"group of noradrenergic neurons in pons"	<http://purl.obolibrary.org/obo/DHBA_12498>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"nucleus coeruleus"	<http://purl.obolibrary.org/obo/DHBA_12499>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"subcoeruleus nucleus"	<http://purl.obolibrary.org/obo/DHBA_12500>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"subcoeruleus nucleus, dorsal part"	<http://purl.obolibrary.org/obo/DHBA_12501>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"subcoeruleus nucleus, ventral part"	<http://purl.obolibrary.org/obo/DHBA_12502>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"other nuclei in pontine tegmentum"	<http://purl.obolibrary.org/obo/DHBA_12503>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"accessory trigeminal nucleus"	<http://purl.obolibrary.org/obo/DHBA_12504>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"alar interstitial nucleus"	<http://purl.obolibrary.org/obo/DHBA_12505>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"Barrington's nucleus"	<http://purl.obolibrary.org/obo/DHBA_12506>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"central nucleus of acoustic tract"	<http://purl.obolibrary.org/obo/DHBA_12507>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsal tegmental nucleus"	<http://purl.obolibrary.org/obo/DHBA_12508>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsal tegmental nucleus, central part"	<http://purl.obolibrary.org/obo/DHBA_12509>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsal tegmental nucleus, pericentral part"	<http://purl.obolibrary.org/obo/DHBA_12510>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"epicoeruleus nucleus"	<http://purl.obolibrary.org/obo/DHBA_12512>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"pontine gamma nucleus"	<http://purl.obolibrary.org/obo/DHBA_12513>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"intermediate interstitial nucleus of medial longitudinal fasciculus"	<http://purl.obolibrary.org/obo/DHBA_12514>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"interstitial nucleus of medial longitudinal fasciculus"	<http://purl.obolibrary.org/obo/DHBA_12515>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"intertrigeminal nucleus"	<http://purl.obolibrary.org/obo/DHBA_12516>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"juxtaolivary nucleus"	<http://purl.obolibrary.org/obo/DHBA_12517>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"laterodorsal tegmental nucleus"	<http://purl.obolibrary.org/obo/DHBA_12519>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"laterodorsal tegmental nucleus, dorsal part"	<http://purl.obolibrary.org/obo/DHBA_12520>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"laterodorsal tegmental nucleus, ventral part"	<http://purl.obolibrary.org/obo/DHBA_12521>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"nucleus K"	<http://purl.obolibrary.org/obo/DHBA_12522>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"nucleus L"	<http://purl.obolibrary.org/obo/DHBA_12523>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"paraabducens nucleus"	<http://purl.obolibrary.org/obo/DHBA_12524>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"pericuneate nuclei"	<http://purl.obolibrary.org/obo/DHBA_12525>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"lateral pericuneate nucleus"	<http://purl.obolibrary.org/obo/DHBA_12526>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"medial pericuneate nucleus"	<http://purl.obolibrary.org/obo/DHBA_12527>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"pontobulbar nucleus, inferior part"	<http://purl.obolibrary.org/obo/DHBA_12528>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"peritrigeminal zone"	<http://purl.obolibrary.org/obo/DHBA_12529>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"retrofacial nucleus"	<http://purl.obolibrary.org/obo/DHBA_12530>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"retrotrapezoid nucleus"	<http://purl.obolibrary.org/obo/DHBA_12531>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventrolateral tegmental nucleus"	<http://purl.obolibrary.org/obo/DHBA_12534>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"arcuate nucleus of medulla oblongata"	<http://purl.obolibrary.org/obo/DHBA_12536>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"conterminal nucleus"	<http://purl.obolibrary.org/obo/DHBA_12537>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"tegmentum of medulla oblongata"	<http://purl.obolibrary.org/obo/DHBA_12538>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"efferent nuclei of cranial nerves in the medulla oblongata"	<http://purl.obolibrary.org/obo/DHBA_12539>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ambiguus nucleus"	<http://purl.obolibrary.org/obo/DHBA_12540>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ambiguus nucleus, compact part"	<http://purl.obolibrary.org/obo/DHBA_12541>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ambiguus nucleus, loose part"	<http://purl.obolibrary.org/obo/DHBA_12542>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ambiguus nucleus, semicompact part"	<http://purl.obolibrary.org/obo/DHBA_12543>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"inferior salivatory nucleus"	<http://purl.obolibrary.org/obo/DHBA_12544>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"hypoglossal nucleus"	<http://purl.obolibrary.org/obo/DHBA_12545>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"hypoglossal nucleus, geniohyoid part"	<http://purl.obolibrary.org/obo/DHBA_12546>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"hypoglossal nucleus, lateral part"	<http://purl.obolibrary.org/obo/DHBA_12547>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"hypoglossal nucleus, medial part"	<http://purl.obolibrary.org/obo/DHBA_12548>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"hypoglossal nucleus, ventral part"	<http://purl.obolibrary.org/obo/DHBA_12549>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsal motor nucleus of the vagus (vagal nucleus)"	<http://purl.obolibrary.org/obo/DHBA_12550>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsal motor nucleus of vagus, caudointermediate part"	<http://purl.obolibrary.org/obo/DHBA_12551>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsal motor nucleus of vagus, centrointermediate part"	<http://purl.obolibrary.org/obo/DHBA_12552>
